token,call,spkr,spkrBase,spkrMid,spkrTop,firstVoicedFrameTime,lastVoicedFrameTime,duration,timingS,timingP,timingE,heightS,heightP,heightE,heightSreBaseline,heightPreBaseline,heightEreBaseline,heightSreMid,heightPreMid,heightEreMid,averagereBaseline,averagereMid,riseST,fallST,spanST
0638-B-269-74,638,B,145.786383715643,205.945725374051,551.594018837035,0.0405490695225087,0.21031801068971,0.169768941167201,7.57575757575757,43.9393939393939,83.3333333333334,224.240566977034,243.819187377158,198.583021055294,7.45429580858454,8.90346820325932,5.35063556581107,1.47339738504906,2.92256977972384,-0.630262857724411,7.72815110772411,1.74725268418862,1.44917239467478,3.55283263744825,3.55283263744825
4065-A-552-11,4065,A,132.364962778159,204.379822553633,580.576689696918,0.00902007158025414,0.405650712333644,0.39663064075339,0.714285714285714,32.1428571428571,77.8571428571429,278.826033751746,409.814000775496,191.428115253198,12.8981277812406,19.5653758091041,6.38737735935704,5.37734997382614,12.0445980016896,-1.13340044805743,13.7119293097267,6.19115150231219,6.66724802786344,13.177998449747,13.177998449747
4065-A-678-82,4065,A,132.364962778159,204.379822553633,580.576689696918,0.00885932345648294,0.530145308446653,0.52128598499017,9.23913043478261,39.6739130434783,83.1521739130435,223.302973172169,315.94677527654,176.742147919546,9.05377405364186,15.0619230241689,5.00549799901508,1.53299624622739,7.54114521675445,-2.51527980839939,10.0918151896091,2.57103738219465,6.00814897052706,10.0564250251538,10.0564250251538
4065-B-856-32,4065,B,83.9251900265371,122.618538869177,359.576484470456,0.0502059251162356,0.362984484112644,0.312778558996408,1.42857142857143,55.7142857142857,95.7142857142857,102.985050750796,180.367293339778,87.760149624743,3.54310953843432,13.2451433940542,0.773545042850169,-3.02090624116821,6.68112761445169,-5.79047073675236,7.34317830354039,0.779162523937869,9.7020338556199,12.471598351204,12.471598351204
4065-B-952-42,4065,B,83.9251900265371,122.618538869177,359.576484470456,0.0423328646021552,0.337238363084483,0.294905498482328,1.51515151515152,46.969696969697,86.3636363636364,115.72624562184,269.584206627745,91.5855088799104,5.56248345058044,20.2027221147933,1.51218536855756,-1.00153232902209,13.6387063351908,-5.05183041104497,11.999952136414,5.4359363568115,14.6402386642128,18.6905367462357,18.6905367462357
4074-A-159-66,4074,A,70.1544367645814,105.900688786176,319.359687841989,0.0287837047619511,0.221216295238049,0.192432590476098,2.77777777777778,52.7777777777778,97.2222222222222,119.278342815532,228.389178940427,75.3742454850646,9.18871040341868,20.4346565472521,1.24244770214851,2.05944175369445,13.3053878975278,-5.88682094757572,16.450260664521,9.32099201479679,11.2459461438334,19.1922088451036,19.1922088451036
4074-A-175-71,4074,A,70.1544367645814,105.900688786176,319.359687841989,0.0701651037037397,0.273288393650732,0.203123289946992,2.63157894736842,34.2105263157895,97.3684210526316,121.691846243542,215.624340899699,74.50968997025,9.53551504797732,19.438965539286,1.04272455768396,2.40624639825309,12.3096968895618,-6.08654409204027,14.1547568367872,7.025488187063,9.90345049130872,18.3962409816021,18.3962409816021
4092-B-461-02,4092,B,137.567532794228,201.94654938506,584.656572979079,0.025569685339641,0.510785918008756,0.485216232669115,21.9101123595506,47.7528089887641,99.438202247191,214.222111001038,276.23021338246,177.664300407677,7.6676085012043,12.0687732693862,4.42816556005913,1.02160680884828,5.4227715770302,-2.21783613229689,8.87063808959226,2.22463639723624,4.40116476818192,7.64060770932709,7.64060770932709
4092-B-74-25,4092,B,137.567532794228,201.94654938506,584.656572979079,0.0355549581450358,0.269985272805395,0.234430314660359,15.1162790697674,61.6279069767442,94.1860465116279,222.713978312048,261.150164380208,192.243967953406,8.34062506432219,11.0968750911044,5.79357972615098,1.69462337196617,4.45087339874841,-0.852421966205037,9.38362544804997,2.73762375569395,2.75625002678224,5.30329536495345,5.30329536495345
4234-A-391-78,4234,A,123.197155989718,189.09443105705,538.644605905892,0.0108488296472236,0.309151170352776,0.298302340705553,9.18367346938776,45.9183673469388,94.8979591836735,203.684375664093,378.601253527316,133.704714072791,8.70439638873079,19.4365228317001,1.41697656196668,1.28674130152183,12.0188677444912,-6.00067852524227,11.6208768235547,4.20322173634573,10.7321264429693,18.0195462697335,18.0195462697335
4310-A-967-15,4310,A,131.286028894998,197.895478977593,574.088148162971,0.0386129851951269,0.301397992026227,0.262785006831101,1.08695652173913,38.0434782608696,98.9130434782609,223.899331374694,344.627324586112,135.943745664956,9.24164187870607,16.7078843624919,0.603556589277943,2.13733879496863,9.60358127875446,-6.5007464944595,10.4197073774561,3.31540429371869,7.46624248378584,16.104327773214,16.104327773214
4315-B-277-41,4315,B,138.439823951703,206.397312715362,601.949356754348,0.0849388278705202,0.870478688409056,0.785539860538536,5.86206896551724,30,95.5172413793103,217.87718852103,347.097568493366,157.30412307113,7.85107372714256,15.9129869610746,2.21156968174255,0.937091626518255,8.99900486045028,-4.70241241888175,8.5791990545942,1.6652169539699,8.06191323393203,13.701417279332,13.701417279332
4431-A-48-77,4431,A,139.183798942652,201.447175211222,559.580209299419,0.0410119050844072,0.450542327683992,0.409530422599585,0.657894736842105,29.6052631578947,76.9736842105263,223.769792800026,256.399981636542,167.174723081076,8.22028807353618,10.5768584163384,3.17238524335398,1.81936465515191,4.17593499795413,-3.22853817503029,7.30174176468696,0.900818346302685,2.35657034280222,7.40447317298442,7.40447317298442
4544-B-1231-92,4544,B,138.309573173679,214.294303920993,837,0.0086220752645324,0.621377924735468,0.612755849470935,0.442477876106195,31.4159292035398,97.787610619469,463.500789746951,836.423755107466,167.132351467366,20.9360493617176,31.1559962319439,3.27708003693335,13.355739531023,23.5756864012493,-4.30322979376122,21.1991512796417,13.6188414489472,10.2199468702263,27.8789161950105,27.8789161950105
4569-A-205-52,4569,A,127.685452792869,190.63676715807,542.632582355231,0.0171107233783765,0.492889276621623,0.475778553243247,5.55555555555556,53.7037037037037,99.3827160493827,211.999735199681,366.60133304947,138.640187102367,8.7776195359182,18.2594143650169,1.4250160618655,1.838832855966,11.3206276850647,-5.51377061808671,11.3703234877852,4.43153680783295,9.48179482909869,16.8343983031514,16.8343983031514
4569-A-293-13,4569,A,127.685452792869,190.63676715807,542.632582355231,0.0502904838238223,0.455583325475477,0.405292841651655,3.6231884057971,52.8985507246377,96.3768115942029,204.300235660075,360.203959285465,178.720498749823,8.13716040121827,17.9546384521374,5.82133138688151,1.19837372126607,11.0158517721852,-1.1174552930707,12.229736792357,5.29095011240476,9.81747805091915,12.1333070652559,12.1333070652559
4569-A-345-76,4569,A,127.685452792869,190.63676715807,542.632582355231,0.0506059605755739,0.520510704519522,0.469904743943948,5.625,63.125,99.375,172.40103820808,354.504403804027,169.074620045267,5.19809153184836,17.6785125747372,4.86079132242218,-1.74069514810385,10.739725894785,-2.07799535753002,11.3284275127276,4.38964083277543,12.4804210428889,12.817721252315,12.817721252315
4576-B-354-82,4576,B,136.283857670779,211.445838854669,610.97200112669,0.00866146033359383,0.289325661169474,0.280664200835881,0.980392156862745,30.3921568627451,95.0980392156863,414.807185872368,509.748613402424,219.493123521534,19.2699143579391,22.8380550675007,8.25073262587513,11.6658326112776,15.2339733208393,0.646650879213675,17.8206202246703,10.2165384780089,3.56814070956164,14.5873224416256,14.5873224416256
4576-B-435-29,4576,B,136.283857670779,211.445838854669,610.97200112669,0.0321196052185655,0.417344978914872,0.385225373696307,0.714285714285714,52.1428571428571,96.4285714285714,274.027099005893,486.823923849311,212.341116563174,12.0924465665483,22.0414245298017,7.6772287625513,4.48836481988689,14.4373427831403,0.0731470158898482,17.135016258712,9.53093451205058,9.9489779632534,14.3641957672504,14.3641957672504
4623-B-386-79,4623,B,141.086202255849,221.182809153885,632.301186123679,0.0633661212211343,0.249422585852577,0.186056464631443,4.28571428571429,35.7142857142857,98.5714285714286,277.672757780211,336.597913074266,170.641898680216,11.7217048605409,15.0533919320812,3.29274022888847,3.93775658783904,7.26944365937938,-4.4912080438134,10.328944231856,2.54499595915409,3.33168707154034,11.7606517031928,11.7606517031928
4624-B-159-33,4624,B,140.928209989633,209.212290143961,594.570240892266,0.0515043254716185,0.844461250193932,0.792956924722313,1.67785234899329,29.1946308724832,83.5570469798658,246.528018397004,370.193938581425,199.973474119513,9.68149430705465,16.719850133217,6.05817857659758,2.84140819311908,9.8797640192814,-0.781907537337988,12.0878543894005,5.24776827546491,7.03835582616231,10.6616715566194,10.6616715566194
4628-B-104-39,4628,B,132.606073745983,191.298300367574,535.631445639107,0.0105290407125021,0.378159260225558,0.367630219513056,0.769230769230769,43.8461538461539,97.6923076923077,244.171224421905,376.643634090472,163.004483093888,10.568955985449,18.0726394674398,3.57317743997852,4.22482959529934,11.7285130772901,-2.77094895017117,13.7033544158943,7.35922802574457,7.50368348199073,14.4994620274612,14.4994620274612
4665-A-1012-52,4665,A,117.230427350339,173.844567345604,488.705565090811,0.075649214491629,0.389134380677828,0.313485166186199,9.18367346938775,41.8367346938776,82.6530612244898,242.450562482159,363.029243445478,121.270356591013,12.5801223424349,19.5688643456909,0.586558415444254,5.75871140782534,12.7474534110814,-6.2348525191653,13.7816897445854,6.96027880997582,6.98874200325606,18.9823059302467,18.9823059302467
4665-B-1234-81,4665,B,104.981879856422,154.674139867418,442.004013636844,0.0913934344742793,0.477174295470382,0.385780860996102,6.48148148148148,58.3333333333333,99.0740740740741,211.811309911752,360.965851126075,149.840960491837,12.1516714713703,21.380664265382,6.1595005922135,5.44257137432668,14.6715641683384,-0.549599504830122,16.0456693059902,9.33656920894659,9.22899279401172,15.2211636731685,15.2211636731685
4666-B-166-31,4666,B,101.38174854644,151.4928329427,431.19261412989,0.0200554683774157,0.382546750357681,0.362491281980265,11.2244897959184,52.0408163265306,98.9795918367347,162.649384155511,213.120580473458,127.90633769008,8.18360889878681,12.8624635840732,4.0234775894005,1.23018981364598,5.90904449893242,-2.92994149574033,9.74684494226326,2.79342585712243,4.67885468528644,8.83898599467275,8.83898599467275
4666-B-230-50,4666,B,101.38174854644,151.4928329427,431.19261412989,0.100055468377416,0.462546750357681,0.362491281980265,7.14285714285715,64.2857142857143,98.9795918367347,159.422816251806,308.671079262994,136.683226299868,7.8367220147033,19.2752683832576,5.17245906391273,0.883302929562474,12.3218492981167,-1.7809600212281,13.3837655634461,6.43034647830524,11.4385463685543,14.1028093193448,14.1028093193448
4666-B-359-97,4666,B,101.38174854644,151.4928329427,431.19261412989,0.124033281026449,0.405148969092778,0.281115688066328,1.31578947368421,48.6842105263158,96.0526315789474,147.689683988366,202.031438047004,135.745082600008,6.5132532820762,11.9373822734527,5.0532238241709,-0.440165803064629,4.98396318831189,-1.90019526096993,9.41519784365756,2.46177875851673,5.42412899137652,6.88415844928182,6.88415844928182
4705-A-1609-91,4705,A,126.536702766663,183.362126469831,507.219383799353,0.00957043137303926,0.560793898358904,0.551223466985864,9.13978494623656,37.0967741935484,85.483870967742,241.669311595984,267.661955933293,156.63242642487,11.201740506647,12.9702742566051,3.6939240645996,4.78006324267448,6.54859699263263,-2.72775319937287,10.8276512282696,4.40597396429708,1.76853374995815,9.2763501920055,9.2763501920055
4705-B-1419-87,4705,B,113.749560353004,168.450107696057,487.522299084207,0.0386806178767324,0.427693110432107,0.389012492555374,5.93220338983051,43.2203389830509,99.1525423728814,252.323768896022,279.1858566204,172.409901388016,13.7929817439383,15.5443786576064,7.19977992716345,6.99545716494936,8.74685407861749,0.402255348174506,13.2155015197022,6.4179769407133,1.75139691366813,8.34459873044299,8.34459873044299
4822-B-1016-01,4822,B,137.944743790609,213.900779907607,640.555899804195,0.130046651197918,0.537818621729713,0.407771970531795,0.66666666666667,42,99.3333333333333,183.243462625095,387.768788142343,147.155377515443,4.91605492995026,17.8932743834974,1.11899733759797,-2.67816015494749,10.2990592985997,-6.47521774729978,11.3228759734138,3.72866088851609,12.9772194535471,16.7742770458994,16.7742770458994
4822-B-1153-81,4822,B,137.944743790609,213.900779907607,640.555899804195,0.0408704994490157,0.421457671945357,0.380587172496341,0.714285714285714,57.8571428571429,99.2857142857143,183.004584254399,434.120464310509,140.462906777808,4.89347163258654,19.8480593608454,0.313184525321453,-2.70074345231122,12.2538442759477,-7.2810305595763,13.0827561428182,5.48854105792044,14.9545877282589,19.534874835524,19.534874835524
4822-B-1156-41,4822,B,137.944743790609,213.900779907607,640.555899804195,0.0372280294682056,0.80927629367507,0.772048264206864,10.2112676056338,39.0845070422535,99.6478873239437,214.49261994367,385.352988103702,147.641861645141,7.64205028844015,17.7850811072709,1.176136180322,0.0478352035423999,10.1908660223732,-6.41807890457576,10.7663518366915,3.17213675179372,10.1430308188308,16.608944926949,16.608944926949
4822-B-1198-13,4822,B,137.944743790609,213.900779907607,640.555899804195,0.0800466511979181,0.417138146837535,0.337091495639617,0.806451612903226,45.9677419354839,99.1935483870968,226.031120175144,299.795103906463,181.036656181845,8.54917118685119,13.4386360377393,4.70629628573378,0.954956101953437,5.84442095284157,-2.88791879916397,9.96646519411174,2.37225010921399,4.88946485088813,8.73233975200554,8.73233975200554
4822-B-942-95,4822,B,137.944743790609,213.900779907607,696,0.102278100431289,0.711217576425436,0.608939475994146,3.125,29.9107142857143,82.5892857142857,316.100784188309,695.922625830738,161.206655997395,14.3555295436178,28.0180371286589,2.69784991537779,6.76131445872,20.4238220437612,-4.89636516951996,15.3450772888052,7.75086220390741,13.6625075850412,25.3201872132812,25.3201872132812
4822-B-968-31,4822,B,137.944743790609,213.900779907607,640.555899804195,0.179266034379573,1.2612209961906,1.08195496181103,0.753768844221109,20.3517587939699,85.678391959799,225.868040256808,291.083965182039,174.726391114849,8.53667594258785,12.9281385941954,4.09208456803428,0.942460857690097,5.3339235092976,-3.50213051686347,8.06310105914899,0.468885974251235,4.3914626516075,8.83605402616107,8.83605402616107
